asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1
1217.75,1641,0.68,0.5,1.35,2.83,3.56,49.75,Ga
673.2,1137.53,0.59,0.35,1.69,2.11,2.6,45.12,Zn
1108.44,1730.86,0.63,0.4,1.56,2.68,3.18,51.29,Zn
553.19,935.756,0.58,0.34,1.69,1.95,2.46,42.58,Zn
914.16,1494.85,0.6,0.36,1.64,2.43,2.88,48.45,Zn
777.15,1282.11,0.61,0.37,1.65,2.25,2.76,46.82,Zn
735.4,1220.45,0.59,0.35,1.66,2.19,2.66,45.36,Zn
557.05,965.076,0.56,0.32,1.73,1.95,2.4,42.59,Zn
842.77,1252.4,0.54,0.36,1.49,2.33,2.79,42.7,Mn
915.46,1467.86,0.62,0.38,1.6,2.43,2.92,48.26,Zn
4008.23,2844.3,0.71,0.99,0.71,6.35,7.48,57.38,Zn
2317.45,1988.29,0.66,0.77,0.86,4.25,5.35,48.5,Cu
1307.56,1274.86,0.61,0.63,0.97,2.94,4.02,40.85,Zn
951.91,1195.64,0.54,0.43,1.26,2.48,3.1,40.23,Cd
813.91,1273.49,0.55,0.35,1.56,2.29,2.74,44.01,Cu
1275.02,1332.95,0.61,0.59,1.05,2.9,3.88,42.15,Cd
1258.94,1751,0.63,0.45,1.39,2.88,3.45,49.75,Mn
1489.6,1841.47,0.74,0.6,1.24,3.18,4.1,52.92,Zn
1995.84,2172.35,0.71,0.65,1.09,3.83,4.72,53.89,V
1425.33,1687.65,0.63,0.53,1.18,3.1,3.84,47.32,Zn
3441.9,2649.07,0.74,0.96,0.77,5.65,6.88,56.86,Cu
1611.38,1578.78,0.59,0.6,0.98,3.34,4.22,43.15,Al
1703.32,1670.06,0.61,0.62,0.98,3.46,4.36,44.71,Al
1482.08,1821.97,0.62,0.5,1.23,3.17,3.81,48.68,Cd
1065.27,1320.34,0.56,0.45,1.24,2.63,3.27,41.9,Cu
936.11,1317.06,0.54,0.39,1.41,2.46,2.97,43.08,Cu
1522.46,1723.76,0.61,0.54,1.13,3.22,3.96,46.72,Zn
1331.61,1402.23,0.6,0.57,1.05,2.98,3.87,42.4,Cu
797.42,1332.86,0.58,0.35,1.67,2.27,2.72,46.74,Zn
2939.32,2351.83,,0.89,0.8,5.03,6.24,53.28,Zn
1915.01,1753.68,0.65,0.71,0.92,3.73,4.81,46.3,Fe
1120.87,1340.21,0.55,0.46,1.2,2.7,3.35,41.47,Zn
1464.24,1445.66,0.54,0.55,0.99,3.15,3.94,40.46,Zn
1585.8,1565.63,0.64,0.65,0.99,3.31,4.34,44.77,Cu
1668.03,1999.16,0.63,0.53,1.2,3.41,4.07,50.85,Cu
1368.32,1312.84,0.59,0.61,0.96,3.02,4.02,40.19,Zn
734.2,1345.91,0.58,0.31,1.83,2.19,2.58,48.52,Zn
898.91,1403.37,0.59,0.38,1.56,2.41,2.91,46.73,Fe
703.44,1079.28,0.51,0.33,1.53,2.15,2.57,40.48,Mn
2581.72,2154.55,0.65,0.78,0.83,4.58,5.62,49.67,Zn
1009.28,1261.63,0.53,0.42,1.25,2.55,3.13,40.38,Zn
1755.19,1849.74,0.63,0.6,1.05,3.53,4.35,47.95,Cu
944.47,1249.3,0.54,0.41,1.32,2.47,3.04,41.44,Zn
3703.63,2463.75,0.76,1.15,0.67,5.98,7.62,54.87,Cu
1648.51,1379.64,0.64,0.77,0.84,3.39,4.74,41.63,Zn
1577.44,1441.31,0.63,0.69,0.91,3.29,4.44,42.5,Zn
815.45,1201.66,0.52,0.35,1.47,2.3,2.74,41.47,V
791.89,1172.69,0.52,0.35,1.48,2.27,2.71,41.32,V
636.56,1151.84,0.57,0.31,1.81,2.06,2.45,45.45,Zn
915.94,1464.21,0.6,0.38,1.6,2.43,2.92,48.12,Zn
769.62,1280.2,0.59,0.35,1.66,2.24,2.69,46.04,Zn
