asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1
1518.84,2064.83,0.66,0.48,1.36,3.22,3.81,53.83,Cd
1329.44,1771.15,0.62,0.47,1.33,2.97,3.58,49.44,Cd
1321.52,1901.77,0.61,0.42,1.44,2.96,3.48,51.91,Ni
1504.99,1844.97,0.65,0.53,1.23,3.2,3.92,49.98,Cd
1838.25,1704.27,0.65,0.7,0.93,3.63,4.71,45.87,Fe
4521.86,2625.75,0.76,1.31,0.58,6.97,8.74,55.62,Cu
2050.91,2521,0.71,0.58,1.23,3.91,4.61,59.37,Cd
2754.14,1852.6,0.71,1.05,0.67,4.8,6.52,46.9,Cu
1920.69,1713.32,0.62,0.69,0.89,3.74,4.76,44.6,Ni
1779.17,1988.36,0.66,0.59,1.12,3.56,4.35,50.77,Cu
1035.16,1500.2,0.57,0.39,1.45,2.59,3.07,45.94,Cu
1290.51,1369.43,0.55,0.51,1.06,2.92,3.66,40.29,Ni
1438.44,1604.24,0.56,0.5,1.12,3.11,3.77,43.67,Ni
1440.76,1597.49,0.59,0.53,1.11,3.12,3.86,44.48,Ni
1388.22,1566.4,0.58,0.52,1.13,3.05,3.78,44.32,Ni
1199.86,1409.46,0.55,0.47,1.17,2.8,3.46,42.05,Ni
1100.17,1328.47,0.54,0.45,1.21,2.67,3.3,41.25,Ni
1956.93,1577.17,0.66,0.82,0.81,3.78,5.16,43.87,Cr
730.99,1199.79,0.5,0.31,1.64,2.18,2.57,43.37,Cu
1256.87,1684.26,0.56,0.42,1.34,2.88,3.4,47.13,Cu
3748.72,2428.58,0.73,1.13,0.65,6.03,7.61,53.32,Co
1131.48,1496.81,0.6,0.46,1.32,2.71,3.36,46.03,Cu
1190.98,1516.85,0.57,0.45,1.27,2.79,3.39,44.68,Mn
1599.27,1899.27,0.59,0.5,1.19,3.32,3.94,48.66,Ni
1482.53,1864.63,0.67,0.53,1.26,3.17,3.9,50.99,Cd
1284.1,1791.62,0.65,0.47,1.4,2.91,3.54,51.14,Cd
545.93,883.144,0.54,0.34,1.62,1.94,2.45,40.6,Cd
1454.07,1975.58,0.68,0.5,1.36,3.13,3.78,53.42,Cd
606.13,967.946,0.54,0.34,1.6,2.02,2.51,41.05,Cd
579.54,930.362,0.54,0.33,1.61,1.98,2.45,40.33,Cd
1979.14,2264.35,0.71,0.62,1.14,3.81,4.62,55.37,Cd
1682.21,1786.16,0.56,0.52,1.06,3.43,4.07,45.01,Ni
4016,2992.97,0.79,1.06,0.75,6.36,7.65,61.73,Cu
1776.77,1989.69,0.6,0.54,1.12,3.55,4.21,49.24,Cu
1527.99,1992.95,0.61,0.47,1.3,3.23,3.81,51.64,Cu
1528.95,1995.48,0.62,0.47,1.31,3.23,3.81,51.69,Cu
1504.17,1973.17,0.62,0.47,1.31,3.2,3.78,51.5,Cu
1181.22,1295.9,0.55,0.51,1.1,2.78,3.56,40.44,Ni
1533.85,1587.07,0.61,0.59,1.03,3.24,4.12,44.43,Fe
1541.29,1806.33,0.59,0.51,1.17,3.25,3.89,47.48,Zn
1462.98,1697.89,0.62,0.54,1.16,3.15,3.91,47.19,Zn
1677.58,1773.48,0.67,0.64,1.06,3.42,4.39,48.59,Cd
1524.17,1785.15,0.62,0.53,1.17,3.23,3.94,47.98,Fe
2238.66,1784.74,0.64,0.8,0.8,4.15,5.36,45.17,Cu
1688.4,1617.77,0.61,0.64,0.96,3.44,4.4,44.15,Cu
747.41,1218.16,0.52,0.32,1.63,2.21,2.61,43.66,Mo
1505.65,1753.9,0.58,0.5,1.16,3.2,3.83,46.41,Cu
1998.35,1860.71,0.68,0.73,0.93,3.84,4.95,48.45,Cu
1283.06,1660.56,0.59,0.45,1.29,2.91,3.48,46.61,Cu
1405.98,1649.01,0.59,0.5,1.17,3.07,3.74,45.54,Cu
3631.71,2129.19,0.78,1.33,0.59,5.89,8.04,51.23,Co
1673.24,2052.71,0.66,0.54,1.23,3.42,4.1,52.5,Zn
1132.34,1408.14,0.58,0.46,1.24,2.71,3.36,43.28,Zn
1298.38,1394.66,0.63,0.58,1.07,2.93,3.87,43.22,Zn
1165.55,1653.8,0.56,0.4,1.42,2.76,3.25,47.73,Zn
3588.78,1907.5,0.73,1.37,0.53,5.84,8.11,46.88,Fe
3575.87,1667.35,0.77,1.65,0.47,5.82,8.83,45.15,Fe
1051.86,1391.46,0.53,0.4,1.32,2.61,3.11,42.47,Zn
1340.2,1723.1,0.65,0.51,1.29,2.99,3.7,49.47,Zn
987.22,1274.82,0.56,0.43,1.29,2.52,3.14,41.83,Zn
4172.71,2324.09,0.73,1.31,0.56,6.55,8.45,51.38,Co
854.76,1697.99,0.62,0.31,1.99,2.35,2.74,55.9,Zn
3227.86,2047.9,0.74,1.17,0.63,5.39,7.26,49.66,Zn
2414.14,2044.34,0.67,0.79,0.85,4.37,5.49,49.23,Zn
3645.63,2586.66,0.71,1,0.71,5.91,7.17,54.77,Zn
4386,2324.58,,1.36,0.53,6.81,8.76,50.87,Zn
1884.57,1807.63,0.59,0.61,0.96,3.69,4.5,45.2,Zn
3262.24,2037.67,0.78,1.25,0.62,5.43,7.5,50.68,Cr
1417.7,1552.88,0.58,0.53,1.1,3.09,3.84,43.69,Cd
1353.85,1540.19,0.58,0.51,1.14,3,3.72,43.93,Cd
1962.02,1600.87,0.66,0.8,0.82,3.79,5.11,43.94,Ni
4145.29,1646.09,0.84,2.12,0.4,6.51,10.5,46.59,Cu
4213.63,1629.94,0.85,2.19,0.39,6.6,10.73,46.5,Zn
2061.46,1452.89,0.69,0.97,0.7,3.92,5.68,42.42,Zn
2413.78,1815.26,0.68,0.9,0.75,4.37,5.8,46.3,Zn
1645.94,1500.87,0.6,0.66,0.91,3.38,4.42,42.19,Zn
2567.28,1815.66,0.69,0.98,0.71,4.56,6.16,46.42,Zn
2479.82,1763.31,0.68,0.96,0.71,4.45,6.03,45.59,Zn
2564.75,1802.86,0.69,0.98,0.7,4.56,6.16,46.12,Zn
2633.19,1823.51,0.7,1,0.69,4.65,6.27,46.35,Cu
2641.12,1853.59,0.69,0.98,0.7,4.66,6.22,46.59,Zn
2933.88,1818.86,0.72,1.16,0.62,5.02,6.98,46.49,Zn
866.11,1161.62,0.53,0.4,1.34,2.36,2.93,40.53,Cd
2983.95,2617.13,0.72,0.82,0.88,5.09,6.09,56.88,Cu
1839.96,1949.1,0.6,0.57,1.06,3.63,4.34,48.12,Zn
1543.53,1753.04,0.58,0.51,1.14,3.25,3.9,46.04,Zn
1212.11,1383.89,0.52,0.45,1.14,2.82,3.41,40.3,Mn
5185.13,2982.7,0.78,1.35,0.58,7.76,9.4,59.69,Cu
1661.47,1672.8,0.58,0.58,1.01,3.4,4.21,44.22,Zn
3023.99,2332.16,0.77,1,0.77,5.14,6.62,54.67,Cu
622.43,1003.29,0.49,0.31,1.61,2.04,2.43,40.19,Cd
1240.24,1366.18,0.52,0.48,1.1,2.86,3.52,40.23,Mn
1746.06,2084.79,0.67,0.56,1.19,3.51,4.23,52.72,Zn
2201.63,1842.18,0.62,0.74,0.84,4.1,5.16,45.53,Zn
1984.58,2076.22,0.63,0.61,1.05,3.82,4.59,50.36,Zn
1556.78,1611.82,0.58,0.56,1.04,3.27,4.05,43.73,Ni
1600.74,1649.03,0.58,0.56,1.03,3.33,4.09,43.97,Ni
1541.91,1563.82,0.55,0.54,1.01,3.25,3.98,42.05,Fe
2344.84,2310.11,0.64,0.65,0.99,4.28,5.06,52.51,Zn
3665,2088.86,0.74,1.3,0.57,5.93,7.99,49.46,Al
2547.24,2281.69,0.63,0.7,0.9,4.54,5.37,50.85,Mg
1837.54,1972.83,0.65,0.6,1.07,3.63,4.43,49.75,Zn
2254.38,2447.77,0.67,0.62,1.09,4.17,4.91,56.08,Zn
1500.07,1524.25,0.56,0.55,1.02,3.19,3.97,42.01,Zn
1979.44,1896.24,0.61,0.64,0.96,3.81,4.67,46.97,Cd
2572.07,2030.11,0.78,0.98,0.79,4.57,6.16,51.84,Mn
1683.16,1863.88,0.6,0.55,1.11,3.43,4.14,47.84,Cr
3363.78,2413.7,0.77,1.07,0.72,5.56,7.11,54.91,Cr
3323.78,2373.05,0.77,1.07,0.71,5.51,7.07,54.35,Cr
3332.74,2365.23,0.77,1.09,0.71,5.52,7.14,54.53,Mn
3384.04,2357.29,0.79,1.13,0.7,5.58,7.29,54.76,Mn
2395,2824.52,0.69,0.59,1.18,4.34,5.05,62.74,Cd
3370.77,2332.15,0.78,1.12,0.69,5.57,7.25,54.08,Mn
2915.89,2395.2,0.74,0.9,0.82,5,6.25,54.76,Mn
2676.71,2165.4,0.73,0.9,0.81,4.7,6.04,51.97,Mn
3577.46,2371.82,0.8,1.2,0.66,5.82,7.64,54.87,Mn
2915.1,2273.78,,0.93,0.78,5,6.33,52.72,Cr
4060.77,2252.81,0.8,1.45,0.55,6.41,8.72,52.98,Cr
1793.12,1428.62,0.64,0.8,0.8,3.57,4.96,41.54,Cu
926.98,1428.2,0.59,0.38,1.54,2.44,2.93,46.55,Cu
842.73,1283.51,0.57,0.37,1.52,2.33,2.82,44.24,Ni
2181.03,1690.92,0.67,0.86,0.78,4.07,5.48,44.93,Cu
2698.78,2178.07,0.74,0.91,0.81,4.73,6.08,52.28,Cu
2047.69,1611.54,0.67,0.85,0.79,3.9,5.33,44.3,Cu
1842.51,1686.35,0.6,0.66,0.92,3.64,4.6,44.17,Cu
1879.38,1696.47,0.61,0.67,0.9,3.69,4.67,44.19,Ni
1857.86,1685.58,0.61,0.67,0.91,3.66,4.65,44.21,Ni
608.93,1000.4,0.61,0.37,1.64,2.02,2.6,43.82,Zn
527.39,863.669,0.54,0.33,1.64,1.91,2.4,40.28,Cu
538.5,883.632,0.54,0.33,1.64,1.93,2.41,40.54,Cu
1156.02,1611.64,0.63,0.45,1.39,2.75,3.36,48.42,Cd
625.16,1105.02,0.57,0.32,1.77,2.04,2.47,44.68,Zn
1400.51,1487.78,0.57,0.54,1.06,3.06,3.85,42.52,Zn
1385.93,1429.11,0.56,0.55,1.03,3.05,3.86,41.44,Zn
1275.13,1520.7,0.57,0.47,1.19,2.9,3.53,43.6,Na
2469,2309.49,0.67,0.72,0.94,4.44,5.35,52.85,Cd
1634.33,1595.83,0.61,0.62,0.98,3.37,4.3,43.84,Cd
1640.69,1609.04,0.61,0.62,0.98,3.38,4.3,44.1,Mn
910.15,1248.02,0.52,0.38,1.37,2.42,2.92,41.2,Mn
1177.44,1587.17,0.56,0.42,1.35,2.77,3.29,45.93,Zn
1413.04,1557.79,0.62,0.56,1.1,3.08,3.92,44.96,Zn
1505.31,1428.73,0.66,0.7,0.95,3.2,4.41,43.75,Mn
2392.52,2495.54,0.66,0.63,1.04,4.34,5.1,56.01,Co
2291.97,2424.88,0.68,0.64,1.06,4.21,4.98,55.47,Zn
1358.45,1608.89,0.56,0.47,1.18,3.01,3.61,44.3,Mn
1327.44,1823.93,0.61,0.45,1.37,2.97,3.53,50.22,Zn
2257.67,2208.16,0.7,0.71,0.98,4.17,5.13,52.86,Zn
2267.5,2198.16,0.69,0.71,0.97,4.18,5.14,52.48,Zn
1836.9,1912.89,0.65,0.62,1.04,3.63,4.48,48.9,Zn
954.72,1282.95,0.54,0.4,1.34,2.48,3.02,41.82,Cd
1753.92,2054.42,0.64,0.55,1.17,3.52,4.21,51.45,Cd
2942.66,2269.17,0.74,0.96,0.77,5.03,6.44,53.06,Zn
1780.76,1670.88,0.63,0.67,0.94,3.56,4.58,44.99,Zn
2325.64,2216.88,0.69,0.72,0.95,4.26,5.22,52.47,Zn
2276.97,2184.49,0.69,0.72,0.96,4.19,5.17,52.33,Zn
2095.49,2045.35,0.67,0.68,0.98,3.96,4.89,50.23,Zn
2257.59,2185.15,0.69,0.71,0.97,4.17,5.13,52.31,Zn
1832.45,2036.98,0.64,0.58,1.11,3.62,4.37,50.76,Zn
1877.03,2284.73,0.64,0.53,1.22,3.68,4.33,55.05,Cd
4587.82,2391.39,0.78,1.5,0.52,7.05,9.29,53.38,Ni
1763.34,1776.16,0.63,0.62,1.01,3.54,4.42,46.55,Zn
1714.92,1738.43,0.61,0.6,1.01,3.47,4.31,45.71,Zn
1469.31,1755.51,0.63,0.52,1.19,3.15,3.86,47.91,Cd
2152.69,1906.99,0.64,0.72,0.89,4.04,5.06,47.21,Mn
1230.9,1521.62,0.57,0.46,1.24,2.84,3.46,44.26,Cd
891.28,1314.49,0.57,0.39,1.47,2.4,2.93,44.49,Cd
1291.31,1606.2,0.57,0.46,1.24,2.92,3.51,45.29,Cu
1997.73,2241.63,0.59,0.53,1.12,3.84,4.48,52.63,Cu
2165.8,1865.56,0.67,0.78,0.86,4.05,5.24,47.63,Cd
3340.18,2078.93,0.78,1.25,0.62,5.53,7.57,50.99,Zn
1591.37,1712.53,0.6,0.56,1.08,3.31,4.08,45.83,Zn
2025.11,2105.55,0.63,0.61,1.04,3.87,4.63,50.48,Zn
1940.16,2111.95,0.65,0.6,1.09,3.76,4.52,51.57,Zn
2439.65,1856.28,0.68,0.89,0.76,4.4,5.8,46.81,Mg
1410.19,1469.46,0.59,0.57,1.04,3.08,3.94,42.79,Na
2879.66,2172.96,0.74,0.97,0.75,4.96,6.41,51.68,Cu
2751.44,2058.38,0.72,0.96,0.75,4.79,6.27,50.03,Zn
1850.4,1809.81,0.61,0.62,0.98,3.65,4.5,46.06,Cu
1714.71,1799.21,0.65,0.62,1.05,3.47,4.37,47.97,Zn
3272.96,2310.51,0.79,1.12,0.71,5.45,7.16,54.48,Ni
3486.15,2297.83,0.8,1.21,0.66,5.71,7.59,54.15,Fe
3203.31,2313.21,0.79,1.1,0.72,5.36,7.05,54.77,Zn
1129.4,1362.71,0.56,0.46,1.21,2.71,3.36,41.95,Na
1970.14,2057.36,0.68,0.66,1.04,3.8,4.72,51.75,Zn
1274.73,1517.77,0.59,0.49,1.19,2.9,3.59,44.27,Zn
1646.02,1782.29,0.64,0.59,1.08,3.38,4.22,47.73,Zn
1667.44,1630.8,0.61,0.62,0.98,3.41,4.33,44.24,Ca
1145.35,1437.58,0.56,0.45,1.26,2.73,3.35,43.45,Cd
1804,1741.04,0.67,0.69,0.97,3.59,4.65,47.11,Zn
1354.33,1786.7,0.59,0.45,1.32,3,3.56,48.71,Cd
3742.25,2753.27,0.71,0.96,0.74,6.02,7.14,56.6,Mg
1126.59,1414.52,0.58,0.46,1.26,2.71,3.36,43.62,Zn
1906.93,2058.01,0.63,0.58,1.08,3.72,4.44,50.09,Zn
1211.38,1565.69,0.58,0.45,1.29,2.82,3.41,45.61,Mg
1630.43,1802.61,0.61,0.56,1.11,3.36,4.12,47.52,Cd
3286.89,2308.4,0.73,1.04,0.7,5.46,6.96,52.54,Mg
1540.8,1910.17,0.61,0.5,1.24,3.25,3.86,49.83,Cd
1630.9,1585.84,0.61,0.63,0.97,3.36,4.32,43.93,Cd
1434.24,1545.97,0.59,0.55,1.08,3.11,3.91,43.85,Cd
1458.59,1673.47,0.6,0.52,1.15,3.14,3.85,45.88,Cd
1517.02,1572.96,0.61,0.58,1.04,3.22,4.07,44.02,Mn
1681.11,1608.61,0.59,0.62,0.96,3.43,4.34,43.42,Zn
3604.43,2123.72,0.72,1.22,0.59,5.85,7.72,49.29,Mg
2820.56,1946.61,0.69,1,0.69,4.88,6.44,47.5,Mg
851.72,1215.89,0.55,0.39,1.43,2.34,2.89,42.49,Zn
2787,2657.55,0.67,0.71,0.95,4.84,5.68,57.43,Zn
1864.01,1687.34,0.65,0.71,0.91,3.67,4.77,45.3,Zn
1851.98,1674.99,0.65,0.72,0.9,3.65,4.78,45.44,Zn
2001.3,1939.23,0.67,0.69,0.97,3.84,4.84,49.24,Cu
2526.09,2130.49,0.78,0.92,0.84,4.51,5.96,53.42,Co
2876.28,2400.21,0.66,0.8,0.83,4.95,5.94,52.68,Ti
4292.99,1877.39,0.83,1.9,0.44,6.69,10.07,48.95,V
1814.52,1835.07,0.65,0.65,1.01,3.6,4.55,48.21,Zn
1381.18,1505.97,0.55,0.5,1.09,3.04,3.71,42.06,Fe
2969.47,2377.49,0.73,0.91,0.8,5.07,6.32,54.06,Zn
3006.67,2226.36,0.74,1,0.74,5.11,6.6,52.36,Cd
2486.4,2188.03,,0.78,0.88,4.46,5.53,51.53,Cd
3371.05,2005.75,0.74,1.25,0.59,5.57,7.6,48.93,Zn
1724.35,1778.09,0.6,0.59,1.03,3.49,4.29,46.27,Zn
3633.67,2204.88,0.8,1.32,0.61,5.89,8.01,52.85,Cu
3003.58,2082.92,0.68,0.98,0.69,5.11,6.55,48.58,Mg
1079.15,1342.97,0.55,0.44,1.24,2.64,3.25,41.86,Zn
2137.61,1931.69,0.63,0.7,0.9,4.02,4.99,47.45,Zn
2799.35,2308.51,0.73,0.89,0.82,4.85,6.12,53.74,Cd
1443.19,1387.15,0.62,0.65,0.96,3.12,4.21,42.2,Zn
2051.84,1885.07,0.6,0.66,0.92,3.91,4.8,46.29,Mn
2441.67,2049.14,0.64,0.77,0.84,4.4,5.46,48.5,Mn
2019.09,1903.34,0.63,0.67,0.94,3.86,4.8,47.48,Cd
755.47,1119.92,0.5,0.34,1.48,2.22,2.65,40.36,Cd
903.61,1193.38,0.52,0.4,1.32,2.41,2.97,40.42,Zn
1185.92,1460.16,0.56,0.46,1.23,2.78,3.41,43.52,Zn
1324.31,1512.51,0.58,0.51,1.14,2.97,3.69,43.76,Zn
1729.8,1802.16,0.62,0.6,1.04,3.49,4.33,47.14,Cd
1088.25,1332.85,0.6,0.49,1.22,2.66,3.41,43.23,Cd
1122,1496,0.54,0.41,1.33,2.7,3.21,44.23,Cd
1690.01,2168.4,0.62,0.48,1.28,3.44,4.03,53.85,Zn
1514.86,1197.42,0.72,0.91,0.79,3.21,5.01,41.71,Sr
1405.86,1196.99,0.74,0.87,0.85,3.07,4.8,42.92,Mn
4657.62,2109.4,0.81,1.79,0.45,7.13,10.09,50.81,Ni
2190.95,2122.87,0.65,0.67,0.97,4.08,4.95,50.49,Cu
1505.9,1635.33,0.59,0.54,1.09,3.2,3.95,44.63,Cd
1479.13,1614.42,0.59,0.54,1.09,3.17,3.92,44.56,Cd
1351.54,1413.94,0.57,0.55,1.05,3,3.83,41.68,Zn
2839.84,1737.5,0.79,1.29,0.61,4.91,7.24,47.78,Zn
2352.02,2139.04,0.66,0.73,0.91,4.29,5.27,50.59,Si
1785.57,1774.39,0.61,0.61,0.99,3.56,4.41,45.83,Si
1589.34,1622.24,0.59,0.58,1.02,3.31,4.14,44.09,Si
2057.19,2004.06,0.65,0.66,0.97,3.91,4.8,49.14,Cd
1927.56,1803.08,0.66,0.7,0.94,3.75,4.8,47.13,Cd
2883.09,2169.18,0.69,0.92,0.75,4.96,6.28,50.38,Zn
1630.59,2052.76,0.69,0.55,1.26,3.36,4.09,53.72,Cd
2109.7,1385.91,0.77,1.17,0.66,3.98,6.27,43.97,Mn
2500.25,2653.84,0.72,0.67,1.06,4.48,5.28,59.14,Cu
4061.4,2599.3,,1.12,0.64,6.41,7.85,54.51,Fe
1717.98,2095.07,0.67,0.55,1.22,3.48,4.17,53.12,Zn
1614.99,2013.79,0.66,0.53,1.25,3.34,4.02,52.23,Zn
1143.08,1346.46,0.53,0.45,1.18,2.73,3.34,40.75,Mg
1688,2063.77,0.67,0.55,1.22,3.44,4.15,52.88,Zn
2532.19,1974.44,0.72,0.92,0.78,4.52,5.96,49.43,Zn
1332.73,1510.82,0.58,0.51,1.13,2.98,3.7,43.53,Cu
953.17,1370.35,0.57,0.4,1.44,2.48,3.02,44.72,Cd
1700.76,1622.71,0.58,0.61,0.95,3.45,4.33,43.18,Ni
2211.32,2613.25,0.65,0.55,1.18,4.11,4.77,59.24,Cd
1992.16,1770.92,0.64,0.72,0.89,3.83,4.91,45.92,Zn
2191.54,1704.81,0.68,0.88,0.78,4.09,5.54,45.66,Zn
2984.72,2011.51,0.74,1.1,0.67,5.09,6.86,49.62,Zn
1723.31,1741.08,0.64,0.63,1.01,3.48,4.41,46.59,V
1191.75,1383,0.57,0.49,1.16,2.79,3.51,42.17,Cd
1171.44,1360.51,0.58,0.5,1.16,2.77,3.52,42.33,Cd
1470.59,1603.64,0.59,0.54,1.09,3.16,3.91,44.42,Mn
1366.43,1651.45,0.56,0.47,1.21,3.02,3.61,45.31,Mn
857.79,1254.88,0.54,0.37,1.46,2.35,2.84,42.72,Cd
873.85,1175.14,0.53,0.39,1.34,2.37,2.91,40.33,Zn
2090.61,2263.15,0.68,0.62,1.08,3.96,4.72,53.62,Cd
1338.8,1482.92,0.57,0.51,1.11,2.98,3.7,42.6,Cu
1357.89,1511.81,0.57,0.52,1.11,3.01,3.75,43.38,Cu
1763.93,1784.75,0.63,0.62,1.01,3.54,4.42,46.76,V
3556.55,2529.9,0.72,1.02,0.71,5.8,7.14,54.72,Mn
3574.65,2383.65,0.79,1.19,0.67,5.82,7.61,54.96,Cd
1419.06,1793.73,0.65,0.52,1.26,3.09,3.81,50.04,Zn
1763.69,2089.45,0.67,0.56,1.18,3.54,4.25,52.52,Zn
1569.85,2059.34,0.73,0.56,1.31,3.29,4.06,55.58,Zn
1779.75,1898.08,0.62,0.58,1.07,3.56,4.32,48.12,Cd
2517.24,2115.15,0.78,0.93,0.84,4.5,5.98,53.41,Mn
2482.17,1997.85,0.78,0.97,0.8,4.45,6.06,51.88,Zn
2614.92,1958.48,0.81,1.08,0.75,4.62,6.48,51.86,Co
1767.81,1414.75,0.71,0.88,0.8,3.54,5.16,43.53,Na
1312.37,1603.95,0.58,0.47,1.22,2.95,3.56,45.15,Cd
1323.7,1514.01,0.55,0.48,1.14,2.96,3.6,42.74,Zn
796.11,1283.24,0.55,0.34,1.61,2.27,2.7,44.69,Cu
961.06,1263.39,0.54,0.41,1.31,2.49,3.05,41.41,Zn
1164.29,1495.32,0.57,0.44,1.28,2.76,3.33,44.31,Zn
2206.58,2118.84,0.65,0.68,0.96,4.1,5,50.49,Cd
1364.62,1791.89,0.6,0.46,1.31,3.02,3.59,48.84,Zn
1481.57,1568.61,0.61,0.58,1.06,3.17,4.04,44.57,Zn
2148.48,2258.39,0.65,0.61,1.05,4.03,4.77,52.61,Zn
2456.74,1985.69,0.7,0.86,0.81,4.42,5.73,49.11,Zn
1403.83,1519.03,0.6,0.56,1.08,3.07,3.91,44.02,Zn
1826.55,2147.07,0.65,0.56,1.18,3.62,4.3,52.86,Cd
1709.68,2061.81,0.68,0.56,1.21,3.47,4.2,52.81,Zn
1319.82,1730.77,0.65,0.49,1.31,2.96,3.63,49.36,Zn
1686.32,2049.41,0.67,0.55,1.22,3.44,4.14,52.55,Zn
1778.44,1952.99,0.65,0.59,1.1,3.56,4.35,49.88,Zn
1681.21,2052.56,0.66,0.54,1.22,3.43,4.11,52.34,Zn
1321.85,1736.65,0.65,0.49,1.31,2.96,3.63,49.48,Zn
1317.76,1435.02,0.58,0.53,1.09,2.96,3.74,42.33,Cd
1319.2,1642.64,0.63,0.51,1.25,2.96,3.69,47.64,Cd
2550.96,1992.35,0.69,0.88,0.78,4.54,5.87,48.69,Cu
2580.37,2020.36,0.69,0.88,0.78,4.58,5.89,49.04,Cu
1293.17,1489.65,0.57,0.49,1.15,2.92,3.6,43.05,Zn
1527.99,1622.41,0.57,0.54,1.06,3.23,3.97,43.87,Mn
1558,1563.59,0.63,0.63,1,3.27,4.25,44.6,Zn
5060.73,2635.05,0.68,1.3,0.52,7.61,9.17,52.56,Li
618.15,1006.66,0.49,0.3,1.63,2.03,2.41,40.27,Fe
855.37,1221.11,0.54,0.38,1.43,2.35,2.86,42.1,Cu
2717.21,2161.02,0.73,0.92,0.8,4.75,6.13,51.91,Zn
1791.62,2071.75,0.64,0.55,1.16,3.57,4.24,51.23,Co
1926.28,2085.43,0.65,0.6,1.08,3.75,4.51,51.14,Zn
1514.21,2044.61,0.63,0.47,1.35,3.21,3.79,53.2,Co
1616.53,2081.73,0.62,0.48,1.29,3.35,3.93,52.74,Zn
2032.19,2007.6,0.66,0.66,0.99,3.88,4.78,49.58,Zn
2045.3,2012,0.66,0.67,0.98,3.9,4.82,49.81,Zn
2052.21,2013.05,0.66,0.67,0.98,3.91,4.83,49.74,Zn
1997.46,2079.82,0.66,0.63,1.04,3.84,4.66,50.91,Zn
2040.08,2081.17,0.64,0.63,1.02,3.89,4.7,50.32,Ni
2037.46,2060.91,0.67,0.66,1.01,3.89,4.78,50.82,Zn
2152.29,2084.34,0.67,0.69,0.97,4.03,4.97,50.69,Zn
2207.83,2088.66,0.67,0.71,0.95,4.11,5.08,50.65,Zn
2345.31,2137.62,0.66,0.72,0.91,4.28,5.24,50.35,Zn
1685.86,2040.27,0.66,0.55,1.21,3.44,4.14,52.32,Zn
1686.36,2041.35,0.66,0.55,1.21,3.44,4.14,52.34,Zn
1687.05,2043.01,0.66,0.55,1.21,3.44,4.15,52.37,Zn
2079.21,2030.81,0.66,0.68,0.98,3.94,4.88,50.1,Zn
1614.89,2063.4,0.63,0.49,1.28,3.34,3.94,52.47,Zn
1885.56,2097.46,0.64,0.57,1.11,3.69,4.39,51.04,Zn
1906.44,2081.65,0.64,0.59,1.09,3.72,4.46,51.02,Zn
1916.18,2078.82,0.64,0.59,1.08,3.73,4.47,50.8,Zn
1975.14,2099.4,0.65,0.61,1.06,3.81,4.58,51.07,Zn
1998.98,2113.47,0.65,0.62,1.06,3.84,4.63,51.38,Zn
1615.28,2063.24,0.63,0.49,1.28,3.34,3.94,52.46,Cu
1831.21,2097.38,0.65,0.57,1.15,3.62,4.34,51.92,Fe
1814.58,1776.35,0.62,0.63,0.98,3.6,4.49,46.05,Cu
810,1169.53,0.53,0.37,1.44,2.29,2.79,41.46,Zn
2011.86,1665.84,0.67,0.81,0.83,3.86,5.18,45.27,Zn
2621.44,2212.29,0.68,0.8,0.84,4.63,5.71,51.1,Zn
3959.36,2135.2,0.77,1.43,0.54,6.29,8.58,50.6,Zn
2389.23,1935.33,0.71,0.88,0.81,4.34,5.72,49.16,Zn
2161.13,1819.29,0.65,0.78,0.84,4.05,5.24,46.51,Ni
2884.62,2008.41,0.71,1.02,0.7,4.96,6.55,48.81,Ni
2113.91,1806.41,0.64,0.75,0.85,3.99,5.11,46,Ni
2914.72,1937.19,0.71,1.08,0.66,5,6.74,48.04,Ni
1793,1835.21,0.62,0.6,1.02,3.57,4.39,46.96,Zn
3790,2046.6,,1.51,0.54,6.08,8.64,51.1,Zn
2741.43,2141.5,0.71,0.91,0.78,4.78,6.12,50.94,Zn
1499.05,1842.78,0.6,0.49,1.23,3.19,3.8,48.51,Zn
1829.96,1699.23,0.62,0.67,0.93,3.62,4.62,44.99,Zn
2348.48,2364.42,0.66,0.65,1.01,4.28,5.06,53.71,Zn
2754.05,2006.16,0.71,0.98,0.73,4.8,6.33,49.19,Zn
3040.09,1976.09,0.8,1.24,0.65,5.16,7.28,51.07,Cu
3361.34,2027.92,0.76,1.26,0.6,5.55,7.62,49.74,Cu
2500.7,2175.3,0.77,0.88,0.87,4.48,5.82,53.78,Cu
3614.4,1947.73,0.81,1.5,0.54,5.87,8.47,49.86,Zn
1849.62,1886.77,0.63,0.62,1.02,3.65,4.5,48.03,Zn
2480.13,2249.11,0.67,0.74,0.91,4.45,5.41,51.9,Zn
2727.12,1996.94,0.73,0.99,0.73,4.76,6.33,49.48,Ti
2131.9,2119.38,0.63,0.63,0.99,4.01,4.79,49.97,Zn
2063.5,2073.35,0.63,0.63,1,3.92,4.72,49.8,Zn
940.28,1378.61,0.55,0.37,1.47,2.46,2.92,44.16,Al
915.48,1351.58,0.54,0.37,1.48,2.43,2.89,43.97,Al
